-2.74,-0.22,-4.15,81,1,0,12.372
3.69,4.02,3.93,131,4,0,12.367
4.44,4.5,3.88,87,1,4,16.468
2.95,-2.23,4.71,15,5,5,13.999
0.84,-3.83,3.28,130,1,7,11.71
1.88,2.97,2.13,32,2,4,18.0
3.02,0.97,-2.51,214,1,4,14.557
1.42,1.78,-1.25,183,2,2,13.938
3.66,3.67,1.27,92,3,4,11.406
6.06,2.78,3.57,111,1,4,15.455
1.0,0.56,-2.06,159,0,5,14.051
3.59,0.93,4.79,114,4,2,12.36
2.64,1.53,-0.96,28,3,6,13.192
3.25,3.54,7.37,155,0,0,12.908
5.23,4.35,3.19,170,3,3,12.848
0.34,-1.84,-1.94,212,3,1,12.982
6.82,3.2,6.13,136,4,7,14.385
0.49,-0.93,1.05,186,0,5,12.249
5.27,3.59,2.46,175,3,4,12.535
3.04,-0.95,3.22,81,4,7,12.177
3.08,3.66,4.85,221,5,2,14.462
0.5,-1.19,0.49,146,4,4,15.371
4.82,5.32,6.88,85,0,3,15.504
2.3,2.33,2.79,145,1,4,13.897
5.07,4.29,6.28,70,0,2,10.794
1.63,0.36,0.17,97,2,1,12.013
5.69,5.25,6.4,86,5,0,15.434
2.23,-1.51,0.84,83,1,6,13.509
4.15,1.63,3.85,238,4,1,14.856
-0.75,-4.0,-3.12,134,1,4,15.5
3.54,0.52,2.52,159,2,6,14.065
8.92,9.28,8.01,9,1,3,11.555
3.69,2.08,3.05,192,5,2,14.937
0.41,-1.74,-2.08,75,5,3,14.224
1.28,2.03,-0.11,29,5,1,12.415
3.11,1.99,5.86,184,1,2,14.063
7.33,5.75,6.02,181,0,3,12.946
3.79,3.79,3.91,200,2,4,12.707
5.57,2.26,5.22,128,2,6,10.439
6.75,4.42,5.48,97,3,6,13.063
0.0,-0.93,0.6,172,3,7,15.668
0.98,-1.31,3.74,68,5,3,12.343
6.58,6.36,4.6,99,4,2,12.189
-0.82,-0.5,-1.53,126,2,0,14.645
4.73,2.82,1.54,145,5,5,13.924
1.24,-0.78,4.19,39,3,1,11.278
2.7,1.58,2.5,160,3,3,14.355
3.89,0.56,4.15,21,3,5,13.754
3.99,3.07,5.89,137,0,2,11.369
4.69,5.57,4.88,144,3,2,12.879
-1.27,-1.62,0.42,200,0,0,14.333
2.82,1.93,-0.4,196,0,5,13.386
1.74,1.33,2.63,138,3,0,13.359
0.74,1.37,-1.97,178,4,3,13.288
4.82,1.61,3.86,234,0,4,14.526
6.33,7.35,9.02,175,4,1,13.838
1.25,2.6,-0.23,134,1,2,15.051
4.51,4.2,1.97,27,3,1,14.271
3.45,2.61,5.91,206,5,2,12.03
2.36,0.8,-2.16,227,1,5,12.851
2.36,2.74,0.27,66,1,3,10.999
0.4,0.82,-0.68,36,3,0,13.416
1.78,2.62,3.81,70,3,1,13.069
3.03,1.16,2.91,27,5,1,14.294
1.72,0.41,1.16,171,3,1,13.395
3.83,4.38,1.8,86,5,3,12.716
2.85,-0.26,1.12,194,0,4,13.376
0.23,-1.36,0.13,43,1,1,11.02
-1.44,-1.19,0.27,100,2,1,13.993
2.38,1.55,2.38,46,1,5,13.055
2.2,1.15,0.72,35,5,2,14.516
4.07,3.13,1.55,171,0,5,12.436
-1.46,-1.06,-2.01,82,1,1,12.742
4.17,4.97,7.93,31,0,1,15.445
5.8,5.68,4.69,88,2,4,12.805
3.35,1.74,4.37,223,3,2,13.251
8.05,6.17,6.89,106,5,4,12.648
3.47,3.63,5.39,105,3,2,14.39
7.61,6.03,4.81,22,0,4,14.059
5.9,5.25,7.64,66,2,1,12.885
1.87,1.58,2.05,17,3,1,13.899
2.04,1.13,0.15,171,5,0,13.343
4.27,2.96,3.62,202,0,3,12.558
3.95,0.84,3.0,76,0,4,15.686
5.97,4.47,1.66,66,3,4,10.907
4.87,3.77,5.24,150,0,6,13.859
2.4,2.33,2.07,38,2,1,13.425
3.29,1.47,0.51,167,1,3,13.971
5.74,7.12,5.35,52,0,2,15.193
-0.61,1.83,-0.39,42,1,0,12.832
0.89,-2.01,-0.54,120,4,3,10.232
6.69,2.87,4.53,153,0,7,10.368
7.7,5.34,4.77,190,3,7,12.629
1.96,1.61,0.24,193,0,3,14.286
0.41,1.49,-0.64,108,1,0,13.125
0.69,0.67,1.09,10,3,0,13.949
4.8,2.85,1.39,19,2,6,16.23
5.07,3.2,5.05,113,0,6,11.841
4.28,3.47,6.19,234,4,2,14.039
4.28,2.08,4.68,30,1,0,14.079
-0.68,-1.91,-1.0,115,2,3,12.4
5.18,4.12,5.51,89,3,2,15.108
1.33,-0.88,0.82,65,2,1,11.727
5.47,3.09,5.21,17,2,4,13.893
2.91,1.28,4.57,117,1,4,14.111
0.88,1.16,-0.67,199,3,2,15.287
3.65,1.78,-0.0,12,3,6,14.855
3.51,3.02,2.44,219,1,4,11.51
2.4,1.61,1.8,147,4,5,15.167
6.96,3.32,5.88,200,4,5,16.223
2.11,2.65,-0.92,154,5,2,12.052
0.26,-3.29,0.48,147,0,7,12.5
5.87,3.58,3.43,94,0,4,15.461
3.42,1.0,3.53,72,2,0,12.158
1.76,0.83,-0.72,77,1,5,14.296
1.59,1.67,0.93,132,4,1,11.262
4.24,3.07,3.63,13,3,4,12.95
1.22,-1.54,3.57,14,0,5,10.478
2.61,-1.91,4.18,97,1,4,13.156
2.65,1.41,3.0,95,0,1,11.719
4.86,0.98,-0.09,49,5,7,12.449
1.41,1.1,0.45,191,4,2,13.133
6.54,1.97,2.65,191,5,6,14.074
2.51,1.4,4.48,148,1,2,14.776
4.86,1.59,3.76,105,1,5,13.429
1.97,-0.22,1.05,67,5,4,11.601
1.9,-0.68,-0.38,209,3,4,13.269
1.66,-1.69,0.9,124,4,6,12.043
5.44,0.98,3.54,93,4,7,16.072
1.22,-0.11,1.34,202,4,1,14.715
-1.47,-2.44,-2.34,175,1,4,12.587
7.76,4.42,5.92,85,1,7,13.561
4.95,4.53,4.44,198,4,2,13.895
6.81,2.88,4.3,85,4,7,12.694
4.25,5.91,6.87,216,0,0,13.073
4.38,0.4,4.73,71,4,6,13.518
1.44,-0.56,2.01,41,0,0,13.414
3.02,4.51,1.9,186,4,2,12.538
1.78,1.12,1.55,117,1,1,13.625
0.59,-0.3,0.83,137,1,1,11.63
2.9,2.29,1.58,236,4,5,14.127
4.95,6.59,2.5,82,3,0,14.159
5.22,4.82,2.08,63,3,6,13.459
-2.28,-2.36,-4.49,45,4,0,17.42
-0.74,2.1,-1.34,100,4,0,14.682
5.37,4.47,7.01,186,2,3,13.315
1.4,1.49,-1.36,86,5,0,16.082
6.11,7.32,8.72,220,3,0,14.336
2.31,-0.91,3.31,11,4,2,15.869
2.67,1.52,1.44,143,2,3,16.055
5.71,2.43,4.5,67,2,5,10.114
-0.57,0.75,-2.88,219,5,0,12.621
1.96,0.97,2.61,9,1,1,13.966
2.13,2.98,5.08,106,3,0,10.224
6.53,4.22,4.64,201,4,6,13.385
0.27,-1.97,-1.59,29,3,1,14.744
8.05,6.33,5.24,161,5,7,14.089
1.83,-0.41,5.96,8,3,0,11.636
-1.48,-2.21,-0.35,83,0,0,11.28
0.78,-0.73,-3.03,193,5,2,10.343
1.77,0.94,3.06,176,2,1,14.324
5.27,0.61,3.61,153,2,7,15.127
1.86,1.02,0.83,128,0,3,12.6
6.23,6.62,5.12,67,4,0,14.266
7.66,4.08,4.67,51,4,7,14.296
2.09,0.69,2.55,111,3,2,12.427
1.06,-2.39,-2.49,84,2,1,14.563
2.69,0.94,3.9,22,0,2,14.026
5.34,4.07,5.48,67,0,6,14.144
6.25,4.94,2.6,94,5,4,14.265
6.93,2.96,5.4,65,4,6,13.039
8.15,8.49,10.86,53,1,1,12.327
7.05,3.09,6.64,164,2,7,13.399
2.68,0.79,-0.67,125,3,2,11.618
2.11,0.05,3.29,25,3,0,13.444
2.36,-0.65,2.77,171,4,5,14.696
1.15,1.39,1.02,93,1,1,14.123
