3.64,2.1944,2.2444,281.42,4.27,3,5,19.5,0.602
5.74,2.797,2.65,270.38,5.3,2,0,25.7,0.63
1.44,2.2477,2.2217,255.55,0.81,0,1,3.5,0.68
6.04,1.9561,2.0262,291.43,5.45,0,4,1.8,0.94
2.22,1.7641,1.8062,287.42,2.06,1,4,27.0,0.862
3.73,1.6008,1.5655,267.62,3.3,3,1,32.2,0.811
2.98,2.6732,2.6995,255.07,4.29,0,4,5.0,0.308
3.63,2.0997,2.0481,263.06,3.1,3,0,11.2,0.131
4.0,2.1222,2.2067,286.54,3.82,3,3,30.5,1.191
5.67,2.7531,2.782,293.9,6.51,0,5,22.6,0.671
4.17,1.7509,1.8008,287.55,5.84,1,2,4.4,0.464
2.96,0.5657,0.5724,251.36,2.81,1,1,28.1,0.329
3.25,0.7068,0.733,288.81,2.6,3,1,24.3,0.648
2.63,1.1643,1.1826,256.38,2.26,2,6,29.4,0.505
3.81,1.7019,1.7059,280.57,4.32,1,2,23.3,1.006
5.14,1.5176,1.4313,282.69,5.49,2,3,11.4,1.017
1.01,1.8741,1.7287,253.37,0.51,0,6,26.7,0.268
3.49,1.4791,1.426,292.13,3.09,0,0,1.7,0.884
0.68,1.7498,1.7841,294.99,1.12,1,4,2.8,1.132
1.65,2.7023,2.6071,261.95,1.02,3,5,24.2,1.418
2.96,1.8373,1.8988,247.94,2.91,1,0,26.1,1.398
3.64,1.1808,1.1091,246.26,4.11,1,1,9.5,0.247
3.12,2.766,2.6962,265.81,3.34,2,3,8.3,0.824
3.15,1.4675,1.4433,248.35,3.77,3,0,16.1,1.003
4.0,2.6384,2.4384,275.74,3.31,3,0,32.1,0.956
1.53,2.2002,2.1854,268.97,2.91,2,4,29.9,0.96
1.19,0.7935,0.8208,274.12,0.4,1,2,6.3,0.156
6.11,2.1262,2.0877,261.01,6.25,0,4,16.5,0.568
4.92,1.2328,1.1698,288.13,5.79,1,5,14.5,0.188
1.56,1.2454,1.1602,265.89,2.1,2,1,34.3,0.412
1.86,2.1866,2.0582,272.29,1.71,0,4,27.6,0.675
2.99,1.759,1.7468,288.83,3.37,3,2,11.4,0.0
0.28,2.4481,2.4386,257.84,0.97,1,3,23.2,0.752
3.0,1.5765,1.4837,257.08,2.57,2,2,30.8,0.722
4.11,2.0241,1.9871,281.49,3.32,0,0,5.0,0.901
5.15,2.5488,2.5479,249.45,6.27,3,5,13.5,0.538
1.93,1.0025,1.0003,275.53,1.8,3,4,21.1,1.075
2.81,1.5276,1.4584,287.28,3.1,1,3,8.8,0.273
3.91,0.4947,0.4665,257.88,4.9,0,2,10.3,0.303
3.32,0.7134,0.6769,248.46,2.2,3,0,23.4,1.118
2.62,0.6444,0.6006,283.96,3.4,1,5,22.7,0.961
2.09,1.982,1.9823,256.53,2.42,3,6,2.4,0.0
7.33,0.8368,0.8022,276.92,6.81,2,6,4.5,0.709
3.63,1.7083,1.6078,262.98,4.27,2,6,18.7,1.065
3.5,1.1034,1.0357,285.8,3.81,0,2,8.3,0.995
0.37,1.3076,1.3408,264.26,-0.64,2,5,3.4,0.383
3.01,0.5714,0.57,257.41,3.11,1,4,19.9,0.225
6.56,2.1021,2.0689,248.38,6.28,2,1,32.9,1.077
-0.12,2.7135,2.5581,261.16,-0.43,3,5,10.0,0.187
2.77,0.4752,0.4921,270.21,3.4,3,3,24.9,0.32
2.0,0.839,0.8702,288.0,2.18,1,1,3.9,0.996
0.42,2.5711,2.4564,259.2,-0.05,0,0,18.3,1.352
1.54,2.3475,2.2821,282.58,2.26,2,4,9.3,0.35
4.51,2.4324,2.4088,260.82,6.0,3,2,14.5,0.48
0.59,0.6735,0.6569,268.75,0.24,2,5,19.4,0.0
5.13,1.234,1.2566,268.62,5.27,2,1,23.2,0.616
4.38,2.7535,2.7349,267.25,4.41,1,3,10.5,1.142
1.64,2.4727,2.4908,285.53,2.16,2,2,17.5,0.602
0.63,0.9116,0.9474,272.71,0.28,2,5,6.2,1.096
3.64,1.1953,1.1792,251.63,4.4,1,6,29.4,0.422
4.8,0.9614,0.9317,255.01,5.17,3,2,15.0,0.644
3.92,2.7055,2.7359,249.01,4.79,1,1,30.5,0.0
2.89,1.2679,1.1802,271.1,2.57,1,6,33.1,1.369
4.39,1.355,1.2654,267.14,3.88,2,5,33.0,1.27
3.66,1.4349,1.4441,293.11,5.14,1,1,2.0,0.88
2.71,0.4628,0.4754,245.69,2.96,3,4,17.6,0.633
4.12,0.7784,0.806,285.14,4.46,1,6,2.0,0.667
4.15,1.1982,1.1825,247.24,5.32,1,0,18.3,0.914
-1.36,2.3282,2.1421,248.91,-1.75,3,1,8.7,0.482
1.9,2.1475,2.0773,270.14,1.63,1,6,29.1,0.562
0.8,1.5034,1.4927,291.46,1.22,3,2,11.3,1.284
1.52,0.7385,0.7497,255.83,2.82,3,3,3.4,0.422
3.31,1.2642,1.2664,294.56,4.07,1,2,25.3,0.164
2.27,1.3206,1.3223,279.52,2.47,2,0,14.4,0.492
4.73,2.7236,2.6867,288.09,4.82,3,1,11.0,0.925
4.75,1.1793,1.1247,276.09,4.3,2,5,8.4,0.914
3.47,1.4337,1.4671,248.75,3.52,1,4,7.8,1.366
3.9,1.5642,1.5126,262.76,4.4,1,1,18.5,0.828
2.25,0.4672,0.4766,274.89,3.16,3,1,18.4,0.276
0.2,1.3115,1.2363,261.39,1.56,1,4,7.9,0.0
2.94,0.5845,0.6034,271.52,4.24,2,3,23.5,0.471
5.18,1.5834,1.4797,255.8,4.93,1,3,30.2,0.583
5.89,2.4555,2.5476,283.0,6.19,0,6,22.1,0.613
2.06,2.0055,1.9219,267.06,2.36,1,4,20.0,0.627
1.83,0.5806,0.5745,253.9,1.99,1,3,30.4,0.841
1.94,1.868,1.7787,245.43,2.28,1,1,15.8,0.498
4.81,2.3609,2.2697,294.36,5.68,3,6,24.2,0.382
2.11,1.375,1.3182,284.92,3.12,2,0,17.0,0.0
